14/12/2021 10:23:10;77.65%
14/12/2021 10:23:11;77.65%
14/12/2021 10:23:12;77.65%
14/12/2021 10:23:13;77.65%
14/12/2021 10:23:14;77.65%
14/12/2021 10:23:16;77.65%
14/12/2021 10:23:17;77.65%
14/12/2021 10:23:18;77.65%
14/12/2021 10:23:19;77.65%
14/12/2021 10:23:20;77.26%
14/12/2021 10:23:21;77.26%
14/12/2021 10:23:22;77.26%
14/12/2021 10:23:23;77.26%
14/12/2021 10:23:24;77.26%
14/12/2021 10:23:26;77.26%
14/12/2021 10:23:27;77.26%
14/12/2021 10:23:28;77.26%
14/12/2021 10:23:29;77.26%
14/12/2021 10:23:30;77.26%
14/12/2021 10:23:31;77.26%
14/12/2021 10:23:32;77.26%
14/12/2021 10:23:33;77.26%
14/12/2021 10:23:34;77.26%
14/12/2021 10:23:36;77.26%
14/12/2021 10:23:37;77.26%
14/12/2021 10:23:38;77.26%
14/12/2021 10:23:40;77.26%
14/12/2021 10:23:41;77.26%
14/12/2021 10:23:42;77.26%
14/12/2021 10:23:43;77.26%
14/12/2021 10:23:44;77.26%
14/12/2021 10:23:45;77.26%
14/12/2021 10:23:46;77.26%
14/12/2021 10:23:48;77.26%
14/12/2021 10:23:49;77.26%
14/12/2021 10:23:50;77.26%
14/12/2021 10:23:51;77.26%
14/12/2021 10:23:52;77.26%
14/12/2021 10:23:53;77.26%
14/12/2021 10:23:54;77.26%
14/12/2021 10:23:56;77.26%
14/12/2021 10:23:57;77.26%
14/12/2021 10:23:58;77.26%
14/12/2021 10:23:59;77.26%
14/12/2021 10:24:00;77.26%
14/12/2021 10:24:01;77.26%
14/12/2021 10:24:03;77.26%
14/12/2021 10:24:04;77.26%
14/12/2021 10:24:05;77.26%
14/12/2021 10:24:06;77.26%
14/12/2021 10:24:07;77.26%
14/12/2021 10:24:08;77.26%
14/12/2021 10:24:09;77.26%
14/12/2021 10:24:11;77.26%
14/12/2021 10:24:12;77.26%
14/12/2021 10:24:13;77.26%
14/12/2021 10:24:14;77.26%
14/12/2021 10:24:15;77.26%
14/12/2021 10:24:16;77.26%
14/12/2021 10:24:17;76.87%
14/12/2021 10:24:18;76.87%
14/12/2021 10:24:20;76.87%
14/12/2021 10:24:21;76.87%
14/12/2021 10:24:22;76.87%
14/12/2021 10:24:23;76.87%
14/12/2021 10:35:30;72.57%
14/12/2021 10:35:31;72.18%
14/12/2021 10:35:32;72.18%
14/12/2021 10:35:33;72.18%
14/12/2021 10:35:34;72.18%
14/12/2021 10:35:35;72.18%
14/12/2021 10:35:37;72.18%
14/12/2021 10:35:38;72.18%
14/12/2021 10:35:39;72.18%
14/12/2021 10:35:40;72.18%
14/12/2021 10:35:41;72.18%
14/12/2021 10:35:42;72.18%
14/12/2021 10:35:44;72.18%
14/12/2021 10:35:45;72.18%
14/12/2021 10:35:46;72.18%
14/12/2021 10:35:47;72.18%
14/12/2021 10:35:48;72.18%
14/12/2021 10:35:49;72.18%
14/12/2021 10:35:50;72.18%
14/12/2021 10:35:52;72.18%
14/12/2021 10:35:53;72.18%
14/12/2021 10:35:54;72.18%
14/12/2021 10:35:55;72.18%
14/12/2021 10:35:56;72.18%
14/12/2021 10:35:57;72.18%
14/12/2021 10:35:58;72.18%
14/12/2021 10:36:00;72.18%
14/12/2021 10:36:01;72.18%
14/12/2021 10:36:02;72.18%
14/12/2021 10:36:03;72.18%
14/12/2021 10:36:04;72.18%
14/12/2021 10:36:05;72.18%
14/12/2021 10:36:06;72.18%
14/12/2021 10:36:07;72.18%
14/12/2021 10:36:08;72.18%
14/12/2021 10:36:10;72.18%
14/12/2021 10:36:11;72.18%
14/12/2021 10:36:12;72.18%
14/12/2021 10:36:13;72.18%
14/12/2021 10:36:14;72.18%
14/12/2021 10:36:15;72.18%
14/12/2021 10:36:16;72.18%
14/12/2021 10:36:18;72.18%
14/12/2021 10:36:19;72.18%
14/12/2021 10:36:20;72.18%
14/12/2021 10:36:21;72.18%
14/12/2021 10:36:22;72.18%
14/12/2021 10:36:23;72.18%
14/12/2021 10:36:24;72.18%
14/12/2021 10:36:26;72.18%
14/12/2021 10:36:27;72.18%
14/12/2021 10:36:28;71.79%
14/12/2021 10:36:29;71.79%
14/12/2021 10:36:30;71.79%
14/12/2021 10:36:31;71.79%
14/12/2021 10:36:32;71.79%
14/12/2021 10:36:34;71.79%
14/12/2021 10:36:35;71.79%
14/12/2021 10:36:36;71.79%
14/12/2021 10:36:37;71.79%
14/12/2021 10:36:38;71.79%
14/12/2021 10:36:39;71.79%
14/12/2021 10:36:40;71.79%
14/12/2021 10:36:41;71.79%
14/12/2021 10:36:43;71.79%
14/12/2021 10:36:44;71.79%
14/12/2021 10:36:45;71.79%
14/12/2021 10:36:46;71.79%
14/12/2021 10:36:47;71.79%
14/12/2021 10:36:48;71.79%
14/12/2021 10:36:50;71.79%
14/12/2021 10:36:51;71.79%
14/12/2021 10:36:52;71.79%
14/12/2021 10:36:53;71.79%
14/12/2021 10:36:54;71.79%
14/12/2021 10:36:55;71.79%
14/12/2021 10:36:56;71.79%
14/12/2021 10:36:58;71.79%
14/12/2021 10:36:59;71.79%
14/12/2021 10:37:00;71.79%
14/12/2021 10:37:01;71.79%
14/12/2021 10:37:02;71.79%
14/12/2021 10:37:03;71.79%
14/12/2021 10:37:04;71.79%
14/12/2021 10:37:05;71.79%
14/12/2021 10:37:07;71.79%
14/12/2021 10:37:08;71.79%
14/12/2021 10:37:09;71.79%
14/12/2021 10:37:10;71.79%
14/12/2021 10:37:11;71.79%
14/12/2021 10:37:12;71.79%
14/12/2021 10:37:13;71.79%
14/12/2021 10:37:15;71.79%
14/12/2021 10:37:16;71.79%
14/12/2021 10:37:17;71.79%
14/12/2021 10:37:18;71.79%
14/12/2021 10:37:19;71.79%
14/12/2021 10:37:20;71.79%
14/12/2021 10:37:21;71.79%
14/12/2021 10:37:23;71.79%
14/12/2021 10:37:24;71.4%
14/12/2021 10:37:25;71.4%
14/12/2021 10:37:26;71.4%
14/12/2021 10:37:27;71.4%
14/12/2021 10:37:28;71.4%
14/12/2021 10:37:29;71.4%
14/12/2021 10:37:31;71.4%
14/12/2021 10:37:32;71.4%
14/12/2021 10:37:33;71.4%
14/12/2021 10:37:34;71.4%
14/12/2021 10:37:35;71.4%
14/12/2021 10:37:36;71.4%
14/12/2021 10:37:37;71.4%
14/12/2021 10:37:39;71.4%
14/12/2021 10:37:40;71.4%
14/12/2021 10:37:41;71.4%
14/12/2021 10:37:42;71.4%
14/12/2021 10:37:43;71.4%
14/12/2021 10:37:44;71.4%
14/12/2021 10:37:45;71.4%
14/12/2021 10:37:46;71.4%
14/12/2021 10:37:48;71.4%
14/12/2021 10:37:49;71.4%
14/12/2021 10:37:50;71.4%
14/12/2021 10:37:51;71.4%
14/12/2021 10:37:52;71.4%
14/12/2021 10:37:53;71.4%
14/12/2021 10:37:54;71.4%
14/12/2021 10:37:55;71.4%
14/12/2021 10:37:57;72.18%
14/12/2021 10:37:58;72.96%
14/12/2021 10:37:59;73.74%
14/12/2021 10:38:00;74.52%
14/12/2021 10:38:01;74.91%
14/12/2021 10:38:02;74.91%
14/12/2021 10:38:03;75.3%
14/12/2021 10:38:05;75.3%
14/12/2021 10:38:06;75.3%
14/12/2021 10:38:07;75.3%
14/12/2021 10:38:08;75.3%
14/12/2021 10:38:09;76.09%
14/12/2021 10:38:10;77.26%
14/12/2021 10:38:11;77.65%
14/12/2021 10:38:12;78.04%
14/12/2021 10:38:14;78.43%
14/12/2021 10:38:15;78.43%
14/12/2021 10:38:16;78.82%
14/12/2021 10:38:17;79.21%
14/12/2021 10:38:18;79.21%
14/12/2021 10:38:19;79.6%
